alpha(x) =  0.500  beta(v) =  1.000  delta (t) = 0.050
Free stream: density =  1.000  velocity = -1.000  temperature =  1.000
x,t=    0.000,  t=    5.000,  t=   10.000,  t=   15.000,  t=   20.000,  t=   25.000,  t=   30.000,  t=   35.000,  t=   40.000,  t=   45.000,  t=   50.000,
    0.000000,       0.000004,      -0.003106,      -0.001043,      -0.000483,      -0.000248,      -0.000142,      -0.000086,      -0.000056,      -0.000035,      -0.000021,      -0.000016,
    0.500000,       0.000004,      -0.021835,      -0.009357,      -0.004313,      -0.002251,      -0.001286,      -0.000759,      -0.000481,      -0.000292,      -0.000193,      -0.000116,
    1.000000,       0.000004,      -0.028416,      -0.016769,      -0.007958,      -0.004159,      -0.002369,      -0.001420,      -0.000896,      -0.000554,      -0.000352,      -0.000206,
    1.500000,       0.000004,      -0.019084,      -0.022609,      -0.011201,      -0.005929,      -0.003387,      -0.002051,      -0.001264,      -0.000788,      -0.000489,      -0.000289,
    2.000000,       0.000004,       0.008136,      -0.026328,      -0.013922,      -0.007501,      -0.004312,      -0.002613,      -0.001622,      -0.001020,      -0.000614,      -0.000367,
    2.500000,       0.000004,       0.053703,      -0.027506,      -0.015978,      -0.008811,      -0.005109,      -0.003126,      -0.001940,      -0.001217,      -0.000729,      -0.000416,
    3.000000,       0.000004,       0.116742,      -0.025982,      -0.017298,      -0.009822,      -0.005735,      -0.003542,      -0.002194,      -0.001389,      -0.000822,      -0.000463,
    3.500000,       0.000004,       0.195046,      -0.021629,      -0.017849,      -0.010503,      -0.006237,      -0.003865,      -0.002405,      -0.001516,      -0.000899,      -0.000472,
    4.000000,       0.000004,       0.284517,      -0.014365,      -0.017589,      -0.010827,      -0.006566,      -0.004083,      -0.002547,      -0.001594,      -0.000943,      -0.000468,
    4.500000,       0.000004,       0.378747,      -0.004147,      -0.016554,      -0.010829,      -0.006712,      -0.004199,      -0.002631,      -0.001623,      -0.000922,      -0.000461,
    5.000000,       0.000004,       0.468854,       0.009087,      -0.014802,      -0.010486,      -0.006665,      -0.004206,      -0.002641,      -0.001602,      -0.000916,      -0.000416,
    5.500000,       0.000004,       0.544137,       0.025480,      -0.012333,      -0.009850,      -0.006431,      -0.004104,      -0.002575,      -0.001545,      -0.000852,      -0.000371,
    6.000000,       0.000004,       0.594185,       0.045290,      -0.009232,      -0.008942,      -0.006022,      -0.003886,      -0.002430,      -0.001433,      -0.000773,      -0.000306,
    6.500000,       0.000004,       0.611657,       0.068888,      -0.005534,      -0.007777,      -0.005483,      -0.003569,      -0.002244,      -0.001302,      -0.000648,      -0.000198,
    7.000000,       0.000004,       0.595064,       0.096728,      -0.001265,      -0.006380,      -0.004818,      -0.003190,      -0.001980,      -0.001125,      -0.000516,      -0.000086,
    7.500000,       0.000004,       0.549449,       0.129249,       0.003581,      -0.004836,      -0.004044,      -0.002741,      -0.001679,      -0.000912,      -0.000348,       0.000036,
    8.000000,       0.000004,       0.484518,       0.166832,       0.008998,      -0.003154,      -0.003176,      -0.002224,      -0.001352,      -0.000657,      -0.000174,       0.000203,
    8.500000,       0.000004,       0.411210,       0.209596,       0.015100,      -0.001354,      -0.002256,      -0.001662,      -0.000955,      -0.000407,       0.000022,       0.000334,
    9.000000,       0.000004,       0.338673,       0.257158,       0.021999,       0.000506,      -0.001278,      -0.001045,      -0.000540,      -0.000113,       0.000239,       0.000521,
    9.500000,       0.000004,       0.272850,       0.308315,       0.029871,       0.002432,      -0.000279,      -0.000395,      -0.000094,       0.000200,       0.000481,       0.000686,
   10.000000,       0.000004,       0.216492,       0.360888,       0.038984,       0.004446,       0.000705,       0.000268,       0.000363,       0.000526,       0.000722,       0.000900,
   10.500000,       0.000004,       0.170140,       0.411442,       0.049657,       0.006488,       0.001698,       0.000950,       0.000834,       0.000876,       0.000980,       0.001096,
   11.000000,       0.000004,       0.133030,       0.455532,       0.062259,       0.008651,       0.002689,       0.001613,       0.001279,       0.001229,       0.001264,       0.001335,
   11.500000,       0.000004,       0.103836,       0.488235,       0.077233,       0.010914,       0.003640,       0.002254,       0.001755,       0.001600,       0.001529,       0.001575,
   12.000000,       0.000004,       0.081130,       0.505125,       0.095077,       0.013331,       0.004547,       0.002843,       0.002212,       0.001944,       0.001796,       0.001800,
   12.500000,       0.000004,       0.063540,       0.503395,       0.116328,       0.016024,       0.005385,       0.003405,       0.002664,       0.002283,       0.002085,       0.002029,
