alpha(x) =  0.500  beta(v) =  1.000  delta (t) = 0.050
Free stream: density =  1.000  velocity = -1.000  temperature =  1.000
x,t=    0.000,  t=    5.000,  t=   10.000,  t=   15.000,  t=   20.000,  t=   25.000,  t=   30.000,  t=   35.000,  t=   40.000,  t=   45.000,  t=   50.000,
    0.000000,      -1.000002,      -0.000317,      -0.000011,       0.000005,       0.000003,       0.000001,       0.000000,      -0.000000,      -0.000000,      -0.000000,      -0.000001,
    0.500000,      -1.000002,      -0.002246,       0.000210,       0.000183,       0.000095,       0.000048,       0.000025,       0.000014,       0.000005,       0.000003,      -0.000002,
    1.000000,      -1.000002,      -0.005744,       0.000338,       0.000345,       0.000182,       0.000092,       0.000048,       0.000028,       0.000010,       0.000005,      -0.000003,
    1.500000,      -1.000002,      -0.011672,       0.000298,       0.000476,       0.000257,       0.000131,       0.000069,       0.000038,       0.000014,       0.000005,      -0.000005,
    2.000000,      -1.000002,      -0.020958,       0.000020,       0.000564,       0.000318,       0.000163,       0.000086,       0.000046,       0.000017,       0.000005,      -0.000007,
    2.500000,      -1.000002,      -0.034660,      -0.000566,       0.000596,       0.000361,       0.000187,       0.000098,       0.000052,       0.000018,       0.000004,      -0.000011,
    3.000000,      -1.000002,      -0.054020,      -0.001528,       0.000564,       0.000381,       0.000199,       0.000103,       0.000054,       0.000017,       0.000001,      -0.000017,
    3.500000,      -1.000002,      -0.080472,      -0.002947,       0.000459,       0.000377,       0.000201,       0.000103,       0.000053,       0.000013,      -0.000004,      -0.000023,
    4.000000,      -1.000002,      -0.115544,      -0.004915,       0.000273,       0.000346,       0.000190,       0.000095,       0.000046,       0.000007,      -0.000011,      -0.000032,
    4.500000,      -1.000002,      -0.160671,      -0.007558,       0.000002,       0.000288,       0.000167,       0.000081,       0.000035,      -0.000003,      -0.000021,      -0.000041,
    5.000000,      -1.000002,      -0.216848,      -0.011032,      -0.000364,       0.000205,       0.000130,       0.000057,       0.000017,      -0.000016,      -0.000032,      -0.000052,
    5.500000,      -1.000002,      -0.284176,      -0.015551,      -0.000832,       0.000095,       0.000080,       0.000027,      -0.000005,      -0.000032,      -0.000047,      -0.000065,
    6.000000,      -1.000002,      -0.361412,      -0.021392,      -0.001417,      -0.000042,       0.000017,      -0.000011,      -0.000032,      -0.000051,      -0.000063,      -0.000079,
    6.500000,      -1.000002,      -0.445679,      -0.028911,      -0.002136,      -0.000203,      -0.000057,      -0.000056,      -0.000063,      -0.000073,      -0.000082,      -0.000094,
    7.000000,      -1.000002,      -0.532661,      -0.038559,      -0.003013,      -0.000389,      -0.000141,      -0.000107,      -0.000099,      -0.000097,      -0.000101,      -0.000110,
    7.500000,      -1.000002,      -0.617348,      -0.050891,      -0.004084,      -0.000600,      -0.000234,      -0.000163,      -0.000138,      -0.000124,      -0.000123,      -0.000126,
    8.000000,      -1.000002,      -0.695135,      -0.066576,      -0.005394,      -0.000836,      -0.000334,      -0.000224,      -0.000179,      -0.000153,      -0.000146,      -0.000144,
    8.500000,      -1.000002,      -0.762806,      -0.086394,      -0.007005,      -0.001100,      -0.000440,      -0.000289,      -0.000224,      -0.000184,      -0.000171,      -0.000163,
    9.000000,      -1.000002,      -0.818945,      -0.111212,      -0.008998,      -0.001394,      -0.000553,      -0.000357,      -0.000271,      -0.000218,      -0.000197,      -0.000183,
    9.500000,      -1.000002,      -0.863760,      -0.141928,      -0.011476,      -0.001725,      -0.000669,      -0.000427,      -0.000319,      -0.000253,      -0.000224,      -0.000204,
   10.000000,      -1.000002,      -0.898485,      -0.179394,      -0.014572,      -0.002102,      -0.000790,      -0.000499,      -0.000369,      -0.000289,      -0.000252,      -0.000227,
   10.500000,      -1.000002,      -0.924819,      -0.224265,      -0.018457,      -0.002536,      -0.000914,      -0.000573,      -0.000419,      -0.000326,      -0.000280,      -0.000249,
   11.000000,      -1.000002,      -0.944491,      -0.276816,      -0.023339,      -0.003043,      -0.001044,      -0.000645,      -0.000470,      -0.000365,      -0.000309,      -0.000273,
   11.500000,      -1.000002,      -0.959040,      -0.336726,      -0.029481,      -0.003643,      -0.001178,      -0.000718,      -0.000520,      -0.000405,      -0.000339,      -0.000298,
   12.000000,      -1.000002,      -0.969740,      -0.402900,      -0.037209,      -0.004361,      -0.001320,      -0.000790,      -0.000569,      -0.000443,      -0.000368,      -0.000322,
   12.500000,      -1.000002,      -0.977579,      -0.473379,      -0.046913,      -0.005231,      -0.001470,      -0.000859,      -0.000618,      -0.000481,      -0.000399,      -0.000347,
   13.000000,      -1.000002,      -0.983331,      -0.545485,      -0.059065,      -0.006294,      -0.001633,      -0.000928,      -0.000666,      -0.000518,      -0.000429,      -0.000370,
   13.500000,      -1.000002,      -0.987564,      -0.616169,      -0.074225,      -0.007603,      -0.001813,      -0.000995,      -0.000714,      -0.000554,      -0.000458,      -0.000393,
   14.000000,      -1.000002,      -0.990689,      -0.682519,      -0.093029,      -0.009225,      -0.002016,      -0.001062,      -0.000760,      -0.000589,      -0.000487,      -0.000417,
   14.500000,      -1.000002,      -0.993014,      -0.742257,      -0.116181,      -0.011242,      -0.002247,      -0.001131,      -0.000804,      -0.000624,      -0.000514,      -0.000438,
   15.000000,      -1.000002,      -0.994752,      -0.794043,      -0.144421,      -0.013758,      -0.002517,      -0.001199,      -0.000846,      -0.000656,      -0.000540,      -0.000459,
   15.500000,      -1.000002,      -0.996057,      -0.837482,      -0.178463,      -0.016902,      -0.002835,      -0.001268,      -0.000885,      -0.000687,      -0.000565,      -0.000480,
   16.000000,      -1.000002,      -0.997037,      -0.872946,      -0.218897,      -0.020831,      -0.003216,      -0.001341,      -0.000923,      -0.000716,      -0.000588,      -0.000500,
   16.500000,      -1.000002,      -0.997781,      -0.901310,      -0.266062,      -0.025743,      -0.003678,      -0.001417,      -0.000958,      -0.000743,      -0.000610,      -0.000519,
