alpha(x) =  0.500  beta(v) =  1.000  delta (t) = 0.050
Free stream: density =  1.000  velocity = -1.000  temperature =  1.000
x,t=    0.000,  t=    5.000,  t=   10.000,  t=   15.000,  t=   20.000,  t=   25.000,  t=   30.000,  t=   35.000,  t=   40.000,  t=   45.000,  t=   50.000,
    0.000000,       1.000000,       3.045335,       3.101771,       3.110468,       3.113587,       3.115381,       3.116512,       3.117229,       3.117632,       3.117874,       3.118018,
    0.500000,       1.000000,       3.039763,       3.101498,       3.110459,       3.113592,       3.115379,       3.116519,       3.117230,       3.117631,       3.117876,       3.118016,
    1.000000,       1.000000,       3.026944,       3.100792,       3.110416,       3.113599,       3.115383,       3.116515,       3.117235,       3.117628,       3.117873,       3.118017,
    1.500000,       1.000000,       3.005290,       3.099580,       3.110343,       3.113598,       3.115385,       3.116520,       3.117233,       3.117630,       3.117873,       3.118012,
    2.000000,       1.000000,       2.972578,       3.097735,       3.110229,       3.113598,       3.115391,       3.116519,       3.117230,       3.117627,       3.117879,       3.118014,
    2.500000,       1.000000,       2.926056,       3.095107,       3.110045,       3.113597,       3.115392,       3.116519,       3.117236,       3.117635,       3.117883,       3.118014,
    3.000000,       1.000000,       2.862671,       3.091465,       3.109797,       3.113588,       3.115398,       3.116520,       3.117242,       3.117632,       3.117885,       3.118013,
    3.500000,       1.000000,       2.779517,       3.086492,       3.109450,       3.113577,       3.115398,       3.116523,       3.117229,       3.117651,       3.117883,       3.118012,
    4.000000,       1.000000,       2.674455,       3.079801,       3.108982,       3.113540,       3.115413,       3.116532,       3.117230,       3.117655,       3.117889,       3.118010,
    4.500000,       1.000000,       2.546877,       3.070902,       3.108327,       3.113502,       3.115403,       3.116531,       3.117229,       3.117651,       3.117885,       3.118011,
    5.000000,       1.000000,       2.398533,       3.059151,       3.107465,       3.113419,       3.115404,       3.116532,       3.117228,       3.117650,       3.117880,       3.118008,
    5.500000,       1.000000,       2.233929,       3.043758,       3.106309,       3.113319,       3.115393,       3.116532,       3.117229,       3.117644,       3.117872,       3.118006,
    6.000000,       1.000000,       2.060216,       3.023783,       3.104818,       3.113191,       3.115381,       3.116524,       3.117227,       3.117645,       3.117873,       3.118012,
    6.500000,       1.000000,       1.886268,       2.998041,       3.102863,       3.113010,       3.115352,       3.116516,       3.117216,       3.117644,       3.117883,       3.118013,
    7.000000,       1.000000,       1.721090,       2.965200,       3.100348,       3.112779,       3.115324,       3.116499,       3.117213,       3.117642,       3.117882,       3.118013,
    7.500000,       1.000000,       1.572159,       2.923661,       3.097116,       3.112487,       3.115275,       3.116482,       3.117215,       3.117631,       3.117880,       3.118016,
    8.000000,       1.000000,       1.444207,       2.871758,       3.092971,       3.112099,       3.115228,       3.116470,       3.117204,       3.117629,       3.117872,       3.118011,
    8.500000,       1.000000,       1.338837,       2.807793,       3.087680,       3.111622,       3.115159,       3.116443,       3.117195,       3.117612,       3.117864,       3.118006,
    9.000000,       1.000000,       1.255087,       2.730208,       3.080940,       3.111014,       3.115082,       3.116421,       3.117179,       3.117607,       3.117863,       3.118001,
    9.500000,       1.000000,       1.190328,       2.637902,       3.072380,       3.110259,       3.114970,       3.116390,       3.117169,       3.117602,       3.117862,       3.118001,
   10.000000,       1.000000,       1.141253,       2.530488,       3.061547,       3.109280,       3.114858,       3.116361,       3.117144,       3.117589,       3.117862,       3.117996,
   10.500000,       1.000000,       1.104580,       2.408688,       3.047855,       3.108077,       3.114704,       3.116318,       3.117121,       3.117571,       3.117847,       3.117991,
   11.000000,       1.000000,       1.077419,       2.274617,       3.030631,       3.106555,       3.114516,       3.116271,       3.117104,       3.117556,       3.117837,       3.117988,
