alpha(x) =  0.500  beta(v) =  1.000  delta (t) = 0.050
Free stream: density =  1.000  velocity = -1.000  temperature =  1.000
x,t=    0.000,  t=    5.000,  t=   10.000,  t=   15.000,  t=   20.000,  t=   25.000,  t=   30.000,  t=   35.000,  t=   40.000,  t=   45.000,  t=   50.000,
    0.000000,       1.000001,       1.606817,       1.638151,       1.647535,       1.651783,       1.654078,       1.655389,       1.656188,       1.656644,       1.656914,       1.657062,
    0.500000,       1.000001,       1.609444,       1.638589,       1.647714,       1.651870,       1.654126,       1.655420,       1.656208,       1.656654,       1.656924,       1.657065,
    1.000000,       1.000001,       1.613867,       1.639710,       1.648175,       1.652104,       1.654259,       1.655495,       1.656259,       1.656682,       1.656939,       1.657075,
    1.500000,       1.000001,       1.618900,       1.641408,       1.648902,       1.652466,       1.654463,       1.655618,       1.656336,       1.656731,       1.656966,       1.657090,
    2.000000,       1.000001,       1.623221,       1.643529,       1.649857,       1.652957,       1.654737,       1.655784,       1.656434,       1.656792,       1.657010,       1.657119,
    2.500000,       1.000001,       1.625446,       1.645899,       1.650988,       1.653555,       1.655074,       1.655984,       1.656563,       1.656877,       1.657058,       1.657151,
    3.000000,       1.000001,       1.624226,       1.648320,       1.652254,       1.654232,       1.655456,       1.656225,       1.656711,       1.656966,       1.657117,       1.657184,
    3.500000,       1.000001,       1.618228,       1.650598,       1.653586,       1.654975,       1.655879,       1.656490,       1.656866,       1.657079,       1.657179,       1.657217,
    4.000000,       1.000001,       1.606172,       1.652533,       1.654940,       1.655748,       1.656347,       1.656780,       1.657045,       1.657195,       1.657251,       1.657249,
    4.500000,       1.000001,       1.586876,       1.653950,       1.656247,       1.656532,       1.656818,       1.657073,       1.657226,       1.657306,       1.657320,       1.657285,
    5.000000,       1.000001,       1.559397,       1.654657,       1.657468,       1.657300,       1.657298,       1.657368,       1.657420,       1.657420,       1.657384,       1.657318,
    5.500000,       1.000001,       1.523202,       1.654468,       1.658530,       1.658035,       1.657767,       1.657667,       1.657608,       1.657530,       1.657445,       1.657346,
    6.000000,       1.000001,       1.478496,       1.653205,       1.659419,       1.658722,       1.658216,       1.657949,       1.657784,       1.657642,       1.657499,       1.657377,
    6.500000,       1.000001,       1.426531,       1.650650,       1.660079,       1.659324,       1.658617,       1.658214,       1.657941,       1.657735,       1.657561,       1.657400,
    7.000000,       1.000001,       1.369701,       1.646568,       1.660488,       1.659841,       1.658986,       1.658444,       1.658101,       1.657823,       1.657604,       1.657411,
    7.500000,       1.000001,       1.311335,       1.640664,       1.660613,       1.660256,       1.659292,       1.658657,       1.658225,       1.657899,       1.657637,       1.657418,
    8.000000,       1.000001,       1.255039,       1.632584,       1.660420,       1.660549,       1.659552,       1.658838,       1.658332,       1.657956,       1.657656,       1.657411,
    8.500000,       1.000001,       1.203841,       1.621929,       1.659884,       1.660731,       1.659740,       1.658970,       1.658417,       1.657990,       1.657663,       1.657399,
    9.000000,       1.000001,       1.159657,       1.608205,       1.658969,       1.660797,       1.659871,       1.659070,       1.658476,       1.658014,       1.657660,       1.657373,
    9.500000,       1.000001,       1.123142,       1.590894,       1.657634,       1.660746,       1.659927,       1.659124,       1.658503,       1.658022,       1.657642,       1.657338,
   10.000000,       1.000001,       1.093961,       1.569419,       1.655828,       1.660557,       1.659926,       1.659136,       1.658495,       1.658004,       1.657609,       1.657295,
   10.500000,       1.000001,       1.071213,       1.543276,       1.653465,       1.660249,       1.659849,       1.659096,       1.658458,       1.657960,       1.657553,       1.657232,
   11.000000,       1.000001,       1.053788,       1.512106,       1.650463,       1.659804,       1.659706,       1.659015,       1.658394,       1.657896,       1.657483,       1.657157,
   11.500000,       1.000001,       1.040588,       1.475808,       1.646684,       1.659242,       1.659505,       1.658884,       1.658300,       1.657798,       1.657392,       1.657063,
   12.000000,       1.000001,       1.030668,       1.434708,       1.641974,       1.658544,       1.659230,       1.658705,       1.658170,       1.657683,       1.657293,       1.656955,
   12.500000,       1.000001,       1.023229,       1.389705,       1.636130,       1.657699,       1.658903,       1.658493,       1.658007,       1.657544,       1.657167,       1.656827,
   13.000000,       1.000001,       1.017653,       1.342249,       1.628902,       1.656697,       1.658531,       1.658249,       1.657820,       1.657386,       1.657022,       1.656691,
   13.500000,       1.000001,       1.013464,       1.294251,       1.619980,       1.655539,       1.658113,       1.657987,       1.657585,       1.657215,       1.656852,       1.656530,
   14.000000,       1.000001,       1.010293,       1.247769,       1.609015,       1.654163,       1.657639,       1.657668,       1.657347,       1.657013,       1.656682,       1.656366,
   14.500000,       1.000001,       1.007891,       1.204661,       1.595579,       1.652562,       1.657132,       1.657323,       1.657087,       1.656792,       1.656475,       1.656188,
   15.000000,       1.000001,       1.006054,       1.166264,       1.579225,       1.650672,       1.656575,       1.656979,       1.656804,       1.656543,       1.656257,       1.656000,
   15.500000,       1.000001,       1.004645,       1.133250,       1.559474,       1.648433,       1.655977,       1.656597,       1.656500,       1.656281,       1.656044,       1.655799,
   16.000000,       1.000001,       1.003561,       1.105691,       1.535855,       1.645769,       1.655335,       1.656196,       1.656174,       1.656011,       1.655806,       1.655585,
   16.500000,       1.000001,       1.002723,       1.083233,       1.508018,       1.642568,       1.654648,       1.655792,       1.655858,       1.655732,       1.655561,       1.655358,
   17.000000,       1.000001,       1.002084,       1.065235,       1.475780,       1.638704,       1.653899,       1.655371,       1.655513,       1.655442,       1.655305,       1.655119,
   17.500000,       1.000001,       1.001589,       1.051006,       1.439261,       1.634026,       1.653079,       1.654940,       1.655168,       1.655139,       1.655031,       1.654885,
   18.000000,       1.000001,       1.001211,       1.039850,       1.398997,       1.628327,       1.652177,       1.654505,       1.654815,       1.654833,       1.654757,       1.654634,
   18.500000,       1.000001,       1.000923,       1.031149,       1.355959,       1.621379,       1.651171,       1.654067,       1.654469,       1.654533,       1.654482,       1.654390,
   19.000000,       1.000001,       1.000705,       1.024383,       1.311559,       1.612897,       1.650037,       1.653612,       1.654114,       1.654218,       1.654211,       1.654137,
   19.500000,       1.000001,       1.000536,       1.019125,       1.267501,       1.602538,       1.648747,       1.653154,       1.653769,       1.653918,       1.653930,       1.653881,
   20.000000,       1.000001,       1.000408,       1.015049,       1.225440,       1.589933,       1.647245,       1.652685,       1.653422,       1.653614,       1.653652,       1.653640,
