alpha(x) =  0.500  beta(v) =  1.000  delta (t) = 0.050
Free stream: density =  1.000  velocity = -1.000  temperature =  1.000
x,t=    0.000,  t=    5.000,  t=   10.000,  t=   15.000,  t=   20.000,  t=   25.000,  t=   30.000,  t=   35.000,  t=   40.000,  t=   45.000,  t=   50.000,
    0.000000,       0.999999,       1.895260,       1.893458,       1.887953,       1.884985,       1.883455,       1.882646,       1.882172,       1.881897,       1.881735,       1.881654,
    0.500000,       0.999999,       1.888704,       1.892786,       1.887743,       1.884889,       1.883399,       1.882616,       1.882149,       1.881884,       1.881725,       1.881650,
    1.000000,       0.999999,       1.875585,       1.891061,       1.887188,       1.884627,       1.883250,       1.882528,       1.882093,       1.881851,       1.881707,       1.881639,
    1.500000,       0.999999,       1.856378,       1.888366,       1.886312,       1.884213,       1.883018,       1.882390,       1.882005,       1.881796,       1.881676,       1.881619,
    2.000000,       0.999999,       1.831283,       1.884807,       1.885150,       1.883653,       1.882710,       1.882201,       1.881892,       1.881726,       1.881629,       1.881587,
    2.500000,       0.999999,       1.800155,       1.880497,       1.883747,       1.882972,       1.882328,       1.881974,       1.881749,       1.881634,       1.881577,       1.881552,
    3.000000,       0.999999,       1.762483,       1.875525,       1.882155,       1.882195,       1.881897,       1.881701,       1.881585,       1.881530,       1.881512,       1.881513,
    3.500000,       0.999999,       1.717630,       1.869923,       1.880428,       1.881344,       1.881416,       1.881401,       1.881400,       1.881413,       1.881440,       1.881475,
    4.000000,       0.999999,       1.665111,       1.863685,       1.878607,       1.880443,       1.880894,       1.881078,       1.881198,       1.881285,       1.881362,       1.881437,
    4.500000,       0.999999,       1.604963,       1.856708,       1.876729,       1.879530,       1.880353,       1.880744,       1.880992,       1.881155,       1.881282,       1.881397,
    5.000000,       0.999999,       1.538116,       1.848814,       1.874827,       1.878608,       1.879809,       1.880410,       1.880772,       1.881025,       1.881206,       1.881358,
    5.500000,       0.999999,       1.466601,       1.839720,       1.872929,       1.877716,       1.879271,       1.880071,       1.880559,       1.880897,       1.881132,       1.881325,
    6.000000,       0.999999,       1.393454,       1.829043,       1.871027,       1.876862,       1.878754,       1.879747,       1.880358,       1.880771,       1.881070,       1.881293,
    6.500000,       0.999999,       1.322277,       1.816279,       1.869106,       1.876071,       1.878283,       1.879442,       1.880173,       1.880665,       1.881006,       1.881268,
    7.000000,       0.999999,       1.256545,       1.800836,       1.867130,       1.875348,       1.877848,       1.879170,       1.879990,       1.880563,       1.880957,       1.881255,
    7.500000,       0.999999,       1.198899,       1.781999,       1.865044,       1.874703,       1.877473,       1.878919,       1.879851,       1.880471,       1.880919,       1.881248,
    8.000000,       0.999999,       1.150727,       1.759026,       1.862765,       1.874139,       1.877150,       1.878707,       1.879722,       1.880405,       1.880892,       1.881254,
