alpha(x) =  0.500  beta(v) =  1.000  delta (t) = 0.050
Free stream: density =  1.000  velocity = -1.000  temperature =  1.000
x,t=    0.000,  t=    5.000,  t=   10.000,  t=   15.000,  t=   20.000,  t=   25.000,  t=   30.000,  t=   35.000,  t=   40.000,  t=   45.000,  t=   50.000,
    0.000000,       0.000004,      -0.002241,      -0.000995,      -0.000502,      -0.000274,      -0.000171,      -0.000114,      -0.000077,      -0.000054,      -0.000035,      -0.000028,
    0.500000,       0.000004,      -0.022808,      -0.009878,      -0.004714,      -0.002585,      -0.001571,      -0.001011,      -0.000698,      -0.000493,      -0.000341,      -0.000252,
    1.000000,       0.000004,      -0.031620,      -0.017951,      -0.008716,      -0.004807,      -0.002940,      -0.001908,      -0.001289,      -0.000890,      -0.000632,      -0.000468,
    1.500000,       0.000004,      -0.024430,      -0.024562,      -0.012354,      -0.006885,      -0.004223,      -0.002761,      -0.001854,      -0.001288,      -0.000915,      -0.000671,
    2.000000,       0.000004,       0.001850,      -0.029208,      -0.015470,      -0.008757,      -0.005409,      -0.003548,      -0.002393,      -0.001657,      -0.001191,      -0.000851,
    2.500000,       0.000004,       0.049382,      -0.031577,      -0.017976,      -0.010360,      -0.006458,      -0.004250,      -0.002862,      -0.002012,      -0.001440,      -0.001040,
    3.000000,       0.000004,       0.119523,      -0.031405,      -0.019742,      -0.011665,      -0.007319,      -0.004894,      -0.003289,      -0.002313,      -0.001661,      -0.001191,
    3.500000,       0.000004,       0.211915,      -0.028652,      -0.020749,      -0.012642,      -0.008031,      -0.005389,      -0.003665,      -0.002590,      -0.001866,      -0.001356,
    4.000000,       0.000004,       0.323021,      -0.023183,      -0.020985,      -0.013233,      -0.008569,      -0.005770,      -0.003952,      -0.002822,      -0.002021,      -0.001487,
    4.500000,       0.000004,       0.443874,      -0.014954,      -0.020450,      -0.013478,      -0.008896,      -0.006051,      -0.004182,      -0.002978,      -0.002168,      -0.001573,
    5.000000,       0.000004,       0.558838,      -0.003798,      -0.019198,      -0.013386,      -0.009027,      -0.006198,      -0.004355,      -0.003112,      -0.002269,      -0.001676,
    5.500000,       0.000004,       0.647791,       0.010537,      -0.017317,      -0.012975,      -0.008957,      -0.006245,      -0.004411,      -0.003185,      -0.002335,      -0.001733,
    6.000000,       0.000004,       0.692683,       0.028623,      -0.014856,      -0.012275,      -0.008683,      -0.006178,      -0.004416,      -0.003224,      -0.002381,      -0.001754,
    6.500000,       0.000004,       0.685591,       0.051124,      -0.011853,      -0.011306,      -0.008316,      -0.005999,      -0.004366,      -0.003232,      -0.002397,      -0.001784,
    7.000000,       0.000004,       0.632814,       0.079106,      -0.008372,      -0.010131,      -0.007781,      -0.005739,      -0.004246,      -0.003172,      -0.002393,      -0.001778,
    7.500000,       0.000004,       0.550924,       0.113776,      -0.004436,      -0.008813,      -0.007098,      -0.005394,      -0.004051,      -0.003079,      -0.002334,      -0.001769,
    8.000000,       0.000004,       0.458484,       0.156492,      -0.000008,      -0.007308,      -0.006366,      -0.004972,      -0.003807,      -0.002919,      -0.002231,      -0.001710,
    8.500000,       0.000004,       0.369539,       0.208404,       0.004970,      -0.005714,      -0.005520,      -0.004461,      -0.003492,      -0.002728,      -0.002094,      -0.001620,
    9.000000,       0.000004,       0.291682,       0.269965,       0.010573,      -0.004045,      -0.004592,      -0.003882,      -0.003159,      -0.002489,      -0.001949,      -0.001518,
