alpha(x) =  0.500  beta(v) =  1.000  delta (t) = 0.050
Free stream: density =  1.000  velocity = -1.000  temperature =  1.000
x,t=    0.000,  t=    5.000,  t=   10.000,  t=   15.000,  t=   20.000,  t=   25.000,  t=   30.000,  t=   35.000,  t=   40.000,  t=   45.000,  t=   50.000,
    0.000000,       1.000000,       3.118359,       3.131876,       3.133446,       3.134403,       3.135139,       3.135620,       3.135950,       3.136064,       3.136085,       3.136049,
    0.500000,       1.000000,       3.115854,       3.131840,       3.133456,       3.134410,       3.135129,       3.135619,       3.135938,       3.136068,       3.136097,       3.136049,
    1.000000,       1.000000,       3.110068,       3.131769,       3.133486,       3.134419,       3.135144,       3.135621,       3.135947,       3.136075,       3.136096,       3.136053,
    1.500000,       1.000000,       3.099196,       3.131603,       3.133529,       3.134450,       3.135150,       3.135623,       3.135954,       3.136079,       3.136098,       3.136051,
    2.000000,       1.000000,       3.080442,       3.131305,       3.133575,       3.134479,       3.135167,       3.135634,       3.135954,       3.136075,       3.136099,       3.136053,
    2.500000,       1.000000,       3.049670,       3.130774,       3.133629,       3.134513,       3.135185,       3.135651,       3.135961,       3.136074,       3.136099,       3.136049,
    3.000000,       1.000000,       3.001235,       3.129929,       3.133664,       3.134547,       3.135196,       3.135659,       3.135959,       3.136079,       3.136095,       3.136052,
    3.500000,       1.000000,       2.928328,       3.128570,       3.133708,       3.134596,       3.135223,       3.135673,       3.135972,       3.136088,       3.136100,       3.136046,
    4.000000,       1.000000,       2.823936,       3.126508,       3.133704,       3.134642,       3.135242,       3.135690,       3.135988,       3.136094,       3.136102,       3.136054,
    4.500000,       1.000000,       2.683005,       3.123390,       3.133661,       3.134677,       3.135263,       3.135700,       3.135987,       3.136091,       3.136100,       3.136070,
    5.000000,       1.000000,       2.505505,       3.118831,       3.133564,       3.134721,       3.135306,       3.135713,       3.135985,       3.136092,       3.136119,       3.136065,
    5.500000,       1.000000,       2.298915,       3.112190,       3.133407,       3.134742,       3.135327,       3.135730,       3.135983,       3.136106,       3.136130,       3.136077,
    6.000000,       1.000000,       2.078186,       3.102623,       3.133127,       3.134773,       3.135332,       3.135733,       3.135996,       3.136122,       3.136135,       3.136080,
    6.500000,       1.000000,       1.861925,       3.088948,       3.132719,       3.134778,       3.135348,       3.135740,       3.135999,       3.136107,       3.136136,       3.136073,
    7.000000,       1.000000,       1.666667,       3.069547,       3.132122,       3.134759,       3.135346,       3.135741,       3.135997,       3.136115,       3.136138,       3.136081,
    7.500000,       1.000000,       1.502450,       3.042260,       3.131274,       3.134742,       3.135358,       3.135751,       3.135994,       3.136114,       3.136137,       3.136079,
    8.000000,       1.000000,       1.371949,       3.004299,       3.130096,       3.134691,       3.135363,       3.135750,       3.135995,       3.136126,       3.136138,       3.136083,
    8.500000,       1.000000,       1.272444,       2.952213,       3.128462,       3.134630,       3.135356,       3.135755,       3.135997,       3.136113,       3.136148,       3.136079,
    9.000000,       1.000000,       1.198596,       2.882095,       3.126216,       3.134526,       3.135363,       3.135756,       3.135994,       3.136117,       3.136143,       3.136090,
    9.500000,       1.000000,       1.144661,       2.789992,       3.123135,       3.134377,       3.135351,       3.135751,       3.136000,       3.136119,       3.136149,       3.136090,
   10.000000,       1.000000,       1.105563,       2.672852,       3.118926,       3.134180,       3.135318,       3.135745,       3.135985,       3.136122,       3.136151,       3.136094,
   10.500000,       1.000000,       1.077294,       2.529829,       3.113152,       3.133922,       3.135295,       3.135733,       3.135978,       3.136129,       3.136153,       3.136079,
   11.000000,       1.000000,       1.056839,       2.363652,       3.105248,       3.133583,       3.135253,       3.135709,       3.135968,       3.136126,       3.136155,       3.136080,
   11.500000,       1.000000,       1.042011,       2.181351,       3.094463,       3.133133,       3.135207,       3.135707,       3.135961,       3.136122,       3.136154,       3.136088,
   12.000000,       1.000000,       1.031215,       1.993512,       3.079742,       3.132536,       3.135166,       3.135682,       3.135942,       3.136117,       3.136154,       3.136079,
   12.500000,       1.000000,       1.023327,       1.812014,       3.059728,       3.131734,       3.135095,       3.135657,       3.135930,       3.136107,       3.136150,       3.136082,
   13.000000,       1.000000,       1.017528,       1.647096,       3.032633,       3.130688,       3.135019,       3.135630,       3.135913,       3.136098,       3.136144,       3.136090,
   13.500000,       1.000000,       1.013231,       1.505225,       2.996156,       3.129297,       3.134923,       3.135603,       3.135895,       3.136083,       3.136151,       3.136084,
   14.000000,       1.000000,       1.010030,       1.388589,       2.947530,       3.127449,       3.134804,       3.135565,       3.135873,       3.136066,       3.136142,       3.136086,
   14.500000,       1.000000,       1.007624,       1.296006,       2.883543,       3.124975,       3.134655,       3.135535,       3.135856,       3.136050,       3.136127,       3.136081,
   15.000000,       1.000000,       1.005801,       1.224316,       2.800814,       3.121661,       3.134467,       3.135498,       3.135838,       3.136044,       3.136113,       3.136072,
   15.500000,       1.000000,       1.004418,       1.169713,       2.696478,       3.117240,       3.134226,       3.135463,       3.135810,       3.136021,       3.136114,       3.136062,
   16.000000,       1.000000,       1.003356,       1.128513,       2.569056,       3.111298,       3.133930,       3.135423,       3.135792,       3.136010,       3.136101,       3.136061,
   16.500000,       1.000000,       1.002547,       1.097561,       2.419564,       3.103358,       3.133552,       3.135358,       3.135768,       3.135996,       3.136081,       3.136060,
   17.000000,       1.000000,       1.001928,       1.074335,       2.252407,       3.092705,       3.133050,       3.135302,       3.135751,       3.135977,       3.136077,       3.136047,
   17.500000,       1.000000,       1.001458,       1.056873,       2.075472,       3.078421,       3.132418,       3.135244,       3.135730,       3.135952,       3.136063,       3.136035,
   18.000000,       1.000000,       1.001101,       1.043714,       1.898777,       3.059300,       3.131593,       3.135180,       3.135705,       3.135929,       3.136058,       3.136030,
   18.500000,       1.000000,       1.000830,       1.033759,       1.732324,       3.033756,       3.130509,       3.135093,       3.135671,       3.135911,       3.136034,       3.136024,
   19.000000,       1.000000,       1.000626,       1.026188,       1.583845,       2.999798,       3.129059,       3.134995,       3.135652,       3.135888,       3.136009,       3.136018,
   19.500000,       1.000000,       1.000473,       1.020413,       1.457541,       2.954963,       3.127177,       3.134859,       3.135617,       3.135863,       3.135999,       3.136007,
   20.000000,       1.000000,       1.000354,       1.015986,       1.354190,       2.896338,       3.124718,       3.134698,       3.135572,       3.135840,       3.135987,       3.135999,
   20.500000,       1.000000,       1.000266,       1.012570,       1.272093,       2.820818,       3.121454,       3.134507,       3.135532,       3.135819,       3.135971,       3.135998,
   21.000000,       1.000000,       1.000199,       1.009927,       1.208209,       2.725468,       3.117124,       3.134268,       3.135490,       3.135801,       3.135959,       3.135978,
   21.500000,       1.000000,       1.000148,       1.007866,       1.159176,       2.608355,       3.111376,       3.133963,       3.135459,       3.135771,       3.135942,       3.135972,
   22.000000,       1.000000,       1.000111,       1.006259,       1.121830,       2.469451,       3.103772,       3.133569,       3.135408,       3.135751,       3.135926,       3.135971,
   22.500000,       1.000000,       1.000079,       1.004994,       1.093484,       2.311644,       3.093650,       3.133085,       3.135355,       3.135736,       3.135908,       3.135957,
   23.000000,       1.000000,       1.000056,       1.004001,       1.071980,       2.141155,       3.080203,       3.132457,       3.135289,       3.135709,       3.135896,       3.135947,
   23.500000,       1.000000,       1.000040,       1.003213,       1.055643,       1.966838,       3.062334,       3.131621,       3.135223,       3.135686,       3.135877,       3.135944,
   24.000000,       1.000000,       1.000028,       1.002589,       1.043199,       1.798450,       3.038605,       3.130563,       3.135145,       3.135669,       3.135865,       3.135940,
   24.500000,       1.000000,       1.000019,       1.002091,       1.033684,       1.644485,       3.007245,       3.129166,       3.135049,       3.135648,       3.135856,       3.135935,
   25.000000,       1.000000,       1.000013,       1.001691,       1.026383,       1.510505,       2.965968,       3.127346,       3.134910,       3.135620,       3.135840,       3.135927,
   25.500000,       1.000000,       1.000008,       1.001372,       1.020754,       1.398669,       2.912094,       3.124957,       3.134766,       3.135598,       3.135828,       3.135919,
   26.000000,       1.000000,       1.000006,       1.001113,       1.016395,       1.308380,       2.842641,       3.121826,       3.134581,       3.135565,       3.135800,       3.135906,
   26.500000,       1.000000,       1.000004,       1.000907,       1.013003,       1.237216,       2.754639,       3.117715,       3.134356,       3.135528,       3.135780,       3.135888,
   27.000000,       1.000000,       1.000002,       1.000737,       1.010355,       1.182055,       2.645796,       3.112299,       3.134051,       3.135489,       3.135773,       3.135879,
   27.500000,       1.000000,       1.000000,       1.000602,       1.008275,       1.139732,       2.515322,       3.105146,       3.133669,       3.135458,       3.135751,       3.135880,
   28.000000,       1.000000,       0.999999,       1.000493,       1.006636,       1.107443,       2.364963,       3.095687,       3.133190,       3.135405,       3.135739,       3.135867,
   28.500000,       1.000000,       0.999999,       1.000403,       1.005339,       1.082852,       2.199651,       3.083172,       3.132555,       3.135346,       3.135721,       3.135858,
   29.000000,       1.000000,       0.999999,       1.000331,       1.004310,       1.064118,       2.027231,       3.066617,       3.131747,       3.135272,       3.135693,       3.135843,
   29.500000,       1.000000,       0.999999,       1.000267,       1.003492,       1.049819,       1.857167,       3.044710,       3.130731,       3.135194,       3.135665,       3.135823,
   30.000000,       1.000000,       0.999998,       1.000218,       1.002835,       1.038869,       1.698445,       3.015819,       3.129405,       3.135083,       3.135643,       3.135806,
   30.500000,       1.000000,       0.999998,       1.000180,       1.002308,       1.030454,       1.557701,       2.977845,       3.127667,       3.134960,       3.135619,       3.135795,
   31.000000,       1.000000,       0.999998,       1.000147,       1.001884,       1.023965,       1.438312,       2.928263,       3.125424,       3.134815,       3.135585,       3.135770,
   31.500000,       1.000000,       0.999998,       1.000124,       1.001539,       1.018935,       1.340646,       2.864199,       3.122474,       3.134632,       3.135555,       3.135754,
   32.000000,       1.000000,       0.999998,       1.000101,       1.001261,       1.015020,       1.262888,       2.782671,       3.118620,       3.134398,       3.135516,       3.135740,
   32.500000,       1.000000,       0.999998,       1.000084,       1.001035,       1.011961,       1.202168,       2.681129,       3.113561,       3.134104,       3.135485,       3.135720,
   33.000000,       1.000000,       0.999998,       1.000069,       1.000852,       1.009560,       1.155347,       2.558185,       3.106905,       3.133748,       3.135448,       3.135693,
   33.500000,       1.000000,       0.999998,       1.000057,       1.000703,       1.007667,       1.119503,       2.414648,       3.098129,       3.133281,       3.135389,       3.135693,
   34.000000,       1.000000,       0.999998,       1.000045,       1.000582,       1.006171,       1.092150,       2.254306,       3.086554,       3.132699,       3.135332,       3.135669,
   34.500000,       1.000000,       0.999998,       1.000036,       1.000480,       1.004982,       1.071288,       2.084035,       3.071272,       3.131937,       3.135264,       3.135643,
   35.000000,       1.000000,       0.999998,       1.000027,       1.000396,       1.004034,       1.055360,       1.912870,       3.051098,       3.130972,       3.135186,       3.135626,
   35.500000,       1.000000,       0.999998,       1.000023,       1.000326,       1.003276,       1.043160,       1.750085,       3.024516,       3.129723,       3.135095,       3.135598,
   36.000000,       1.000000,       0.999998,       1.000019,       1.000268,       1.002669,       1.033793,       1.603217,       2.989585,       3.128097,       3.134986,       3.135578,
   36.500000,       1.000000,       0.999998,       1.000015,       1.000225,       1.002180,       1.026566,       1.476752,       2.943913,       3.125981,       3.134836,       3.135550,
   37.000000,       1.000000,       0.999998,       1.000012,       1.000187,       1.001781,       1.020972,       1.372020,       2.884769,       3.123234,       3.134655,       3.135525,
   37.500000,       1.000000,       0.999998,       1.000009,       1.000156,       1.001460,       1.016622,       1.287874,       2.809179,       3.119644,       3.134438,       3.135498,
   38.000000,       1.000000,       0.999998,       1.000005,       1.000128,       1.001198,       1.013221,       1.221714,       2.714383,       3.114944,       3.134173,       3.135452,
   38.500000,       1.000000,       0.999998,       1.000004,       1.000107,       1.000988,       1.010558,       1.170476,       2.598535,       3.108782,       3.133829,       3.135424,
   39.000000,       1.000000,       0.999998,       1.000002,       1.000089,       1.000815,       1.008460,       1.131134,       2.461640,       3.100672,       3.133392,       3.135374,
   39.500000,       1.000000,       0.999998,       1.000001,       1.000073,       1.000671,       1.006802,       1.101074,       2.306455,       3.089994,       3.132838,       3.135314,
   40.000000,       1.000000,       0.999998,       1.000001,       1.000062,       1.000555,       1.005482,       1.078134,       2.138865,       3.075925,       3.132127,       3.135248,
   40.500000,       1.000000,       0.999998,       1.000001,       1.000050,       1.000459,       1.004438,       1.060614,       1.967327,       3.057358,       3.131223,       3.135180,
   41.000000,       1.000000,       0.999998,       1.000000,       1.000041,       1.000379,       1.003601,       1.047206,       1.801220,       3.032921,       3.130042,       3.135092,
   41.500000,       1.000000,       0.999998,       0.999999,       1.000033,       1.000313,       1.002929,       1.036915,       1.648807,       3.000787,       3.128523,       3.134991,
   42.000000,       1.000000,       0.999998,       0.999999,       1.000025,       1.000260,       1.002386,       1.028984,       1.515620,       2.958731,       3.126558,       3.134849,
   42.500000,       1.000000,       0.999998,       0.999999,       1.000019,       1.000217,       1.001950,       1.022848,       1.403962,       2.904124,       3.124007,       3.134687,
   43.000000,       1.000000,       0.999998,       0.999999,       1.000015,       1.000179,       1.001597,       1.018087,       1.313413,       2.834040,       3.120677,       3.134484,
   43.500000,       1.000000,       0.999998,       0.999999,       1.000012,       1.000148,       1.001309,       1.014372,       1.241737,       2.745601,       3.116336,       3.134221,
   44.000000,       1.000000,       0.999998,       0.999998,       1.000009,       1.000123,       1.001076,       1.011460,       1.185973,       2.636594,       3.110637,       3.133903,
   44.500000,       1.000000,       0.999998,       0.999998,       1.000008,       1.000103,       1.000888,       1.009171,       1.143045,       2.506330,       3.103167,       3.133497,
   45.000000,       1.000000,       0.999998,       0.999998,       1.000006,       1.000084,       1.000731,       1.007366,       1.110187,       2.356614,       3.093328,       3.132982,
   45.500000,       1.000000,       0.999998,       0.999998,       1.000004,       1.000072,       1.000605,       1.005930,       1.085103,       2.192336,       3.080386,       3.132316,
   46.000000,       1.000000,       0.999998,       0.999998,       1.000002,       1.000059,       1.000499,       1.004793,       1.065950,       2.021239,       3.063314,       3.131466,
   46.500000,       1.000000,       0.999998,       0.999998,       1.000002,       1.000048,       1.000411,       1.003884,       1.051299,       1.852613,       3.040839,       3.130367,
   47.000000,       1.000000,       0.999998,       0.999998,       1.000001,       1.000040,       1.000339,       1.003153,       1.040065,       1.695261,       3.011303,       3.128959,
   47.500000,       1.000000,       0.999998,       0.999998,       1.000000,       1.000031,       1.000281,       1.002569,       1.031415,       1.555681,       2.972587,       3.127130,
   48.000000,       1.000000,       0.999998,       0.999998,       1.000000,       1.000023,       1.000234,       1.002099,       1.024736,       1.437189,       2.922180,       3.124772,
   48.500000,       1.000000,       0.999998,       0.999998,       1.000000,       1.000018,       1.000195,       1.001716,       1.019554,       1.340139,       2.857252,       3.121686,
   49.000000,       1.000000,       0.999998,       0.999998,       0.999999,       1.000015,       1.000161,       1.001406,       1.015517,       1.262780,       2.774848,       3.117689,
   49.500000,       1.000000,       0.999998,       0.999998,       0.999998,       1.000010,       1.000132,       1.001155,       1.012355,       1.202295,       2.672484,       3.112434,
   50.000000,       1.000000,       0.999998,       0.999998,       0.999998,       1.000008,       1.000111,       1.000950,       1.009878,       1.155588,       2.548886,       3.105543,
   50.500000,       1.000000,       0.999998,       0.999998,       0.999998,       1.000006,       1.000091,       1.000782,       1.007921,       1.119787,       2.404973,       3.096489,
   51.000000,       1.000000,       0.999998,       0.999998,       0.999997,       1.000004,       1.000076,       1.000646,       1.006370,       1.092435,       2.244646,       3.084591,
   51.500000,       1.000000,       0.999998,       0.999998,       0.999997,       1.000002,       1.000064,       1.000532,       1.005142,       1.071554,       2.074830,       3.068898,
   52.000000,       1.000000,       0.999998,       0.999998,       0.999996,       1.000001,       1.000052,       1.000439,       1.004159,       1.055593,       1.904526,       3.048242,
   52.500000,       1.000000,       0.999998,       0.999998,       0.999997,       1.000000,       1.000043,       1.000362,       1.003375,       1.043360,       1.742890,       3.021085,
   53.000000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999998,       1.000033,       1.000299,       1.002746,       1.033957,       1.597293,       2.985455,
   53.500000,       1.000000,       0.999998,       0.999998,       0.999997,       0.999997,       1.000025,       1.000249,       1.002238,       1.026697,       1.472060,       2.938969,
   54.000000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999996,       1.000018,       1.000206,       1.001828,       1.021075,       1.368422,       2.878874,
   54.500000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999996,       1.000014,       1.000170,       1.001498,       1.016704,       1.285161,       2.802207,
   55.000000,       1.000000,       0.999998,       0.999998,       0.999997,       0.999996,       1.000009,       1.000139,       1.001226,       1.013285,       1.219713,       2.706292,
   55.500000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999996,       1.000007,       1.000115,       1.001009,       1.010605,       1.168999,       2.589347,
   56.000000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999996,       1.000004,       1.000094,       1.000828,       1.008495,       1.130059,       2.451529,
   56.500000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999996,       1.000002,       1.000078,       1.000681,       1.006824,       1.100284,       2.295760,
   57.000000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999995,       0.999999,       1.000065,       1.000561,       1.005500,       1.077548,       2.128065,
   57.500000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999995,       0.999998,       1.000053,       1.000461,       1.004445,       1.060177,       1.956959,
   58.000000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999995,       0.999997,       1.000041,       1.000381,       1.003603,       1.046876,       1.791769,
   58.500000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999995,       0.999996,       1.000033,       1.000312,       1.002927,       1.036663,       1.640593,
   59.000000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999995,       0.999996,       1.000025,       1.000257,       1.002384,       1.028790,       1.508773,
   59.500000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999994,       0.999995,       1.000017,       1.000212,       1.001943,       1.022697,       1.398457,
   60.000000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999994,       0.999995,       1.000012,       1.000174,       1.001588,       1.017964,       1.309093,
   60.500000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999995,       0.999995,       1.000006,       1.000143,       1.001299,       1.014270,       1.238413,
   61.000000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999995,       0.999995,       1.000005,       1.000115,       1.001066,       1.011375,       1.183438,
   61.500000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999994,       0.999994,       1.000001,       1.000094,       1.000877,       1.009101,       1.141119,
   62.000000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999994,       0.999994,       0.999997,       1.000077,       1.000718,       1.007303,       1.108734,
   62.500000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999994,       0.999993,       0.999996,       1.000062,       1.000590,       1.005878,       1.084004,
   63.000000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999994,       0.999993,       0.999996,       1.000049,       1.000484,       1.004749,       1.065110,
   63.500000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999995,       0.999993,       0.999994,       1.000039,       1.000398,       1.003841,       1.050656,
   64.000000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999995,       0.999993,       0.999994,       1.000030,       1.000325,       1.003117,       1.039567,
   64.500000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999995,       0.999993,       0.999993,       1.000022,       1.000268,       1.002535,       1.031029,
   65.000000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999994,       0.999993,       0.999993,       1.000012,       1.000220,       1.002068,       1.024430,
   65.500000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999995,       0.999993,       0.999992,       1.000007,       1.000179,       1.001686,       1.019311,
   66.000000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999995,       0.999993,       0.999992,       1.000002,       1.000147,       1.001378,       1.015320,
   66.500000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999995,       0.999993,       0.999992,       0.999999,       1.000118,       1.001128,       1.012197,
   67.000000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999995,       0.999993,       0.999991,       0.999997,       1.000096,       1.000925,       1.009747,
   67.500000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999995,       0.999993,       0.999991,       0.999993,       1.000077,       1.000758,       1.007813,
   68.000000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999995,       0.999993,       0.999990,       0.999992,       1.000060,       1.000624,       1.006279,
   68.500000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999995,       0.999993,       0.999990,       0.999991,       1.000047,       1.000509,       1.005064,
   69.000000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999995,       0.999992,       0.999989,       0.999989,       1.000037,       1.000418,       1.004095,
   69.500000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999995,       0.999992,       0.999989,       0.999989,       1.000027,       1.000341,       1.003317,
   70.000000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999995,       0.999992,       0.999989,       0.999987,       1.000018,       1.000278,       1.002693,
   70.500000,       1.000000,       0.999998,       0.999998,       0.999996,       0.999995,       0.999992,       0.999988,       0.999986,       1.000010,       1.000227,       1.002192,
   71.000000,       1.000000,       0.999998,       0.999998,       0.999995,       0.999995,       0.999991,       0.999987,       0.999984,       1.000003,       1.000184,       1.001786,
   71.500000,       1.000000,       0.999998,       0.999998,       0.999995,       0.999995,       0.999991,       0.999987,       0.999983,       0.999996,       1.000149,       1.001458,
   72.000000,       1.000000,       0.999998,       0.999998,       0.999995,       0.999994,       0.999991,       0.999986,       0.999983,       0.999993,       1.000119,       1.001190,
   72.500000,       1.000000,       0.999998,       0.999998,       0.999994,       0.999993,       0.999991,       0.999986,       0.999982,       0.999990,       1.000095,       1.000973,
   73.000000,       1.000000,       0.999998,       0.999998,       0.999995,       0.999993,       0.999991,       0.999986,       0.999981,       0.999985,       1.000074,       1.000796,
   73.500000,       1.000000,       0.999998,       0.999998,       0.999995,       0.999993,       0.999990,       0.999986,       0.999981,       0.999983,       1.000056,       1.000650,
   74.000000,       1.000000,       0.999998,       0.999998,       0.999995,       0.999993,       0.999991,       0.999985,       0.999980,       0.999981,       1.000043,       1.000529,
   74.500000,       1.000000,       0.999998,       0.999997,       0.999995,       0.999992,       0.999990,       0.999985,       0.999980,       0.999980,       1.000031,       1.000432,
   75.000000,       1.000000,       0.999998,       0.999997,       0.999995,       0.999992,       0.999990,       0.999985,       0.999980,       0.999979,       1.000020,       1.000349,
   75.500000,       1.000000,       0.999998,       0.999997,       0.999994,       0.999992,       0.999990,       0.999985,       0.999979,       0.999978,       1.000011,       1.000281,
   76.000000,       1.000000,       0.999998,       0.999997,       0.999994,       0.999992,       0.999989,       0.999984,       0.999979,       0.999977,       1.000002,       1.000228,
   76.500000,       1.000000,       0.999998,       0.999997,       0.999994,       0.999992,       0.999989,       0.999984,       0.999979,       0.999975,       0.999993,       1.000182,
   77.000000,       1.000000,       0.999998,       0.999997,       0.999994,       0.999991,       0.999989,       0.999983,       0.999979,       0.999973,       0.999987,       1.000145,
   77.500000,       1.000000,       0.999998,       0.999997,       0.999994,       0.999991,       0.999988,       0.999983,       0.999978,       0.999972,       0.999982,       1.000112,
   78.000000,       1.000000,       0.999998,       0.999996,       0.999994,       0.999991,       0.999988,       0.999982,       0.999978,       0.999971,       0.999977,       1.000084,
   78.500000,       1.000000,       0.999998,       0.999996,       0.999994,       0.999991,       0.999987,       0.999982,       0.999978,       0.999970,       0.999975,       1.000062,
   79.000000,       1.000000,       0.999998,       0.999996,       0.999994,       0.999991,       0.999987,       0.999982,       0.999977,       0.999970,       0.999973,       1.000043,
   79.500000,       1.000000,       0.999998,       0.999996,       0.999993,       0.999991,       0.999987,       0.999981,       0.999976,       0.999968,       0.999970,       1.000028,
   80.000000,       1.000000,       0.999998,       0.999996,       0.999993,       0.999991,       0.999986,       0.999980,       0.999975,       0.999968,       0.999968,       1.000013,
   80.500000,       1.000000,       0.999998,       0.999996,       0.999993,       0.999991,       0.999986,       0.999980,       0.999974,       0.999967,       0.999965,       1.000002,
   81.000000,       1.000000,       0.999998,       0.999996,       0.999993,       0.999990,       0.999986,       0.999979,       0.999973,       0.999966,       0.999963,       0.999990,
   81.500000,       1.000000,       0.999998,       0.999996,       0.999992,       0.999990,       0.999985,       0.999979,       0.999972,       0.999967,       0.999961,       0.999982,
   82.000000,       1.000000,       0.999998,       0.999996,       0.999992,       0.999990,       0.999985,       0.999978,       0.999972,       0.999966,       0.999959,       0.999972,
   82.500000,       1.000000,       0.999998,       0.999996,       0.999992,       0.999990,       0.999986,       0.999977,       0.999972,       0.999966,       0.999956,       0.999967,
   83.000000,       1.000000,       0.999998,       0.999996,       0.999992,       0.999990,       0.999985,       0.999976,       0.999971,       0.999965,       0.999954,       0.999961,
   83.500000,       1.000000,       0.999998,       0.999996,       0.999992,       0.999990,       0.999985,       0.999975,       0.999971,       0.999965,       0.999954,       0.999958,
   84.000000,       1.000000,       0.999998,       0.999996,       0.999992,       0.999989,       0.999984,       0.999975,       0.999970,       0.999964,       0.999953,       0.999954,
   84.500000,       1.000000,       0.999998,       0.999996,       0.999992,       0.999988,       0.999983,       0.999975,       0.999970,       0.999962,       0.999953,       0.999952,
   85.000000,       1.000000,       0.999998,       0.999996,       0.999992,       0.999988,       0.999982,       0.999975,       0.999969,       0.999961,       0.999952,       0.999949,
   85.500000,       1.000000,       0.999998,       0.999996,       0.999992,       0.999987,       0.999980,       0.999974,       0.999969,       0.999960,       0.999951,       0.999947,
   86.000000,       1.000000,       0.999998,       0.999996,       0.999991,       0.999986,       0.999980,       0.999973,       0.999969,       0.999959,       0.999949,       0.999943,
   86.500000,       1.000000,       0.999998,       0.999996,       0.999991,       0.999986,       0.999979,       0.999972,       0.999968,       0.999958,       0.999948,       0.999941,
   87.000000,       1.000000,       0.999998,       0.999995,       0.999991,       0.999985,       0.999978,       0.999972,       0.999966,       0.999958,       0.999946,       0.999940,
   87.500000,       1.000000,       0.999998,       0.999995,       0.999991,       0.999985,       0.999978,       0.999972,       0.999965,       0.999957,       0.999945,       0.999939,
