alpha(x) =  0.500  beta(v) =  1.000  delta (t) = 0.025
Free stream: density =  1.000  velocity = -2.000  temperature =  1.000
x,t=    0.000,  t=    5.000,  t=   10.000,  t=   15.000,  t=   20.000,  t=   25.000,  t=   30.000,  t=   35.000,  t=   40.000,  t=   45.000,  t=   50.000,
    0.000000,       1.000001,       2.750080,       2.793632,       2.800485,       2.800310,       2.798132,       2.795693,       2.793260,       2.790957,       2.788962,       2.786966,
    0.500000,       1.000001,       2.751836,       2.793829,       2.800472,       2.800259,       2.798065,       2.795644,       2.793216,       2.790915,       2.788923,       2.786939,
    1.000000,       1.000001,       2.755697,       2.794355,       2.800454,       2.800126,       2.797914,       2.795492,       2.793072,       2.790806,       2.788815,       2.786847,
    1.500000,       1.000001,       2.760518,       2.795118,       2.800393,       2.799905,       2.797652,       2.795270,       2.792847,       2.790614,       2.788629,       2.786688,
    2.000000,       1.000001,       2.764747,       2.796006,       2.800277,       2.799549,       2.797290,       2.794927,       2.792546,       2.790341,       2.788402,       2.786461,
    2.500000,       1.000001,       2.766573,       2.796898,       2.800081,       2.799090,       2.796819,       2.794513,       2.792145,       2.790018,       2.788049,       2.786161,
    3.000000,       1.000001,       2.764099,       2.797614,       2.799797,       2.798536,       2.796277,       2.793988,       2.791677,       2.789588,       2.787684,       2.785822,
    3.500000,       1.000001,       2.755314,       2.798004,       2.799372,       2.797865,       2.795635,       2.793365,       2.791114,       2.789083,       2.787216,       2.785417,
    4.000000,       1.000001,       2.738032,       2.797902,       2.798801,       2.797088,       2.794878,       2.792618,       2.790454,       2.788527,       2.786689,       2.784982,
    4.500000,       1.000001,       2.709852,       2.797144,       2.798037,       2.796204,       2.794033,       2.791834,       2.789763,       2.787892,       2.786113,       2.784484,
    5.000000,       1.000001,       2.667986,       2.795534,       2.797072,       2.795188,       2.793082,       2.790953,       2.789014,       2.787206,       2.785449,       2.783936,
    5.500000,       1.000001,       2.609305,       2.792970,       2.795874,       2.794029,       2.791999,       2.789982,       2.788155,       2.786425,       2.784766,       2.783344,
    6.000000,       1.000001,       2.530487,       2.789296,       2.794419,       2.792752,       2.790834,       2.788964,       2.787245,       2.785585,       2.784033,       2.782677,
    6.500000,       1.000001,       2.428644,       2.784296,       2.792715,       2.791337,       2.789568,       2.787883,       2.786257,       2.784697,       2.783275,       2.781954,
    7.000000,       1.000001,       2.302663,       2.777762,       2.790778,       2.789800,       2.788278,       2.786707,       2.785201,       2.783746,       2.782442,       2.781202,
    7.500000,       1.000001,       2.154872,       2.769420,       2.788555,       2.788179,       2.786849,       2.785459,       2.784097,       2.782795,       2.781575,       2.780402,
    8.000000,       1.000001,       1.992751,       2.758868,       2.786091,       2.786438,       2.785367,       2.784155,       2.782948,       2.781785,       2.780648,       2.779564,
    8.500000,       1.000001,       1.828142,       2.745510,       2.783353,       2.784549,       2.783821,       2.782806,       2.781775,       2.780726,       2.779678,       2.778671,
    9.000000,       1.000001,       1.673800,       2.728698,       2.780401,       2.782622,       2.782233,       2.781418,       2.780555,       2.779622,       2.778692,       2.777793,
    9.500000,       1.000001,       1.539034,       2.707335,       2.777194,       2.780617,       2.780571,       2.780004,       2.779292,       2.778482,       2.777661,       2.776893,
   10.000000,       1.000001,       1.427620,       2.680105,       2.773712,       2.778517,       2.778883,       2.778518,       2.777999,       2.777344,       2.776659,       2.776019,
   10.500000,       1.000001,       1.338776,       2.645163,       2.769943,       2.776427,       2.777180,       2.777074,       2.776701,       2.776174,       2.775650,       2.775080,
   11.000000,       1.000001,       1.269257,       2.600144,       2.765813,       2.774301,       2.775463,       2.775581,       2.775409,       2.775042,       2.774611,       2.774115,
